smiles,p_standard_value
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncn(CC(C)C)c(=O)c23)c1,6.493494987487793
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncn(CC)c(=O)c23)c1,7.07572078704834
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(CN5C(=O)c6ccccc6C5=O)cc4)c23)c1,7.259637355804443
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(NC(=O)C(c5ccccc5)N5Cc6ccccc6C5=O)cc4)c23)c1,7.3665313720703125
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(O)cc4)c23)c1,8.408935546875
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(OC(=O)C(c5ccccc5)N5Cc6ccccc6C5=O)cc4)c23)c1,7.886056423187256
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(OC(c5ccccc5)c5ccccc5)cc4)c23)c1,8.346787452697754
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(OCN5C(=O)c6ccccc6C5=O)cc4)c23)c1,7.92081880569458
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)c1,7.022276401519775
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)c1,7.853871822357178
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OC(C)C)c23)c1,7.677780628204346
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OC)c23)c1,7.301030158996582
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OCC(C)C)c23)c1,7.585026741027832
C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OCC)c23)c1,7.853871822357178
C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(CN5C(=O)c6ccccc6C5=O)cc4)c23)c1,7.958607196807861
C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(Cc5ccccc5)cc4)c23)c1,7.537601947784424
C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(OC(c5ccccc5)c5ccccc5)cc4)c23)c1,7.585026741027832
C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(OCN5C(=O)c6ccccc6C5=O)cc4)c23)c1,8.346787452697754
C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)c1,7.853871822357178
C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)c1,7.958607196807861
C=CC(=O)Nc1cccc(-c2c[nH]c3ncnc(Nc4ccc(Oc5ccccc5)cc4)c23)c1,7.886056423187256
